Urdu,Roman-Urdu
خون,khoon
ااس,aas
ویسی,wesy
ہمار,hmara
روے,roay
شر,share
ویب,web
رواں,rawan
تی,ti
فہمی,fehmi
آرم,arm
نکالے,nikalay
بسے,bs
ريڈ,read
خوشی,khushi
انٹينٹ,intent
شازی,shazi
غلاب,gulab
مانگنا,mangna
دھویا,dhoya
سجنا,sajna
کسٹ,cost
ہور,1hour
آگے,aage
الحال,filhal
علی(علیہ,ali
٧٠,70
قران,quran
گریٹ,great
الجهاد,al
بناوں,banao
الی,ali
جاتے,jate
سمارٹ,smart
انهوں,unho
پڑھے,parhay
ڈمپل,dimpledollhania
فان,faan
بهاءی,bhai
فضاؤں,fizaon
پحوٹو,photo
شیو,shio
پڑھو,parho
نمازیں,namazen
روکا,ruka
قرض,qarz
اجتماع,ijtama
بناتے,bnatay
تلوار,talwar
بڑھنے,barrhnay
چاندی,chandni
انوارڈ,inward
سوچتے,sochte
بارے,baray
پہرا,pehra
عرب,arab
مرتے,marte
پي,p
کوش,koshish
حا,ha
خطا,khata
شیر,shair
دھو,dho
سکن,skin
اتری,utri
علیکم,alaikum
ہیللو,hello
کچه,kuch
سیاست,syast
چلے,chale
ڈساسٹر,disaster
مفت,muft
میک,mic
کمرے,kamray
اکیلا,akela
مچانے,machane
آدھ,adha
ہونڈا,dhonda
لانگ,lang
بارڈی,bardigat
ابتدا,ibteda
گہرا,gahra
نکلتا,nikalta
راضی,razi
حنین,hunain
آخرت,akhrat
ہوتی,hoti
جاو,jao
پریم,premnagar
ریا,re
حدیث,hadees
سونے,sone
خارش,kharish
زید,z
نکاح,nikah
لفظوں,lafzon
شولا,shola
سلفی,salfi
ادا,ada
کوانٹٹي,quantity
کای,kai
نوری,nooriparihi
ڈسسارڈ,discard
لی,li
رحیم,rahimyarkhan
لوں,loon
غروب,ghuroob
چکوال,chakwal
هاتہ,hat
حدوں,hadon
گلسسسس,glasses
رشتوں,rishton
پہل,pehl
پڑھاتے,parhatey
الٹ,ult
اڑاتی,urraati
چال,chal
قید,qaid
غریبی,gharibai
ضیا,zia
میاں,mai
رومیوں,ro0mio
پیاس,piyas
کھیلنے,khailne
گيي,guy
کروں,kron
سومرو,soomro
کوفے,cofethanks
پارک,park
انجام,anjam
جسکا,jiska
ھونے,hone
لوہا,loha
ہائی,hi
قول,qoul
اندھیرا,andhera
جمیل,jameelin
السو,also
ہنا,hena
بدلنے,badalne
بجھے,bujhe
بنا,bna
بح,bhai
آنسوں,†ansuon
فنکار,funkar
اسود,aswad3stars
گجراتی,gujratimunde
يو,you
مررور,mirror
آرزو,aarzo
تار,taar
ممتاز,mumtaz
بولڈنگ,building
پریہ,prea
ویرانی,wearani
يمير,umair
پیار,pyar
پیشاب,pishab
ہووے,howe
لانگياج,language
پٹھان,pathan
دکھوں,dukhon
لگے,lage
نادم,nadim
پرے,pre
قہقہے,qehqahey
گلی,gali
لولی,lovly
دلایا,dilaya
حسبند,husband
ہیرا,heera
باقی,baqi
گلاب,gulab
قرآنی,qurani
ماسٹر,mastergee
دھڑکتا,dharakta
جاگنے,jagne
شانوں,shanon
لاڈلا,laadlaa
افسران,afsaraan
صندوق,sandooq
ليکن,lekin
ارادہ,irada
بتانے,btany
دیدو,dedo
وسلم,w
بہنیں,bahnen
دعوت,dawat
پرچم,percham
مارے,mary
رشتے,rishte
هنگری,hungry
بوک,book
انتخاب,intikhab
شوہر,shohar
ض,zia
چنگا,changa
تمہارا,tumhara
پکٹير,picture
نشان,nishaan
سچول,school
ڈاڈ,dad
تھیوری,theory
مانگنے,mangne
گزارنے,guzarny
مسٹ,must
تیرا,tera
ہو,ho
بھولنے,bhoolne
اسلامک,islamic
گونگے,g0onge
چینی,cheeniwo
کامی,kami
ملے,mile
مرض,marz
عرفان,irfan
يا,ya
بنانا,banana
حوپي,hope
کوڑا,kora
٤٠,40
ناه,nah
کاکا,kaka
راہوں,raahon
روم,room
دج,dj
سون,son
والا,wala
ٹوٹی,tooti
پریشان,pareshan
جمپ,jump
اسايلٹ,assault
انٹرو,intro
دیں,din
پلانے,pelane
باوجود,bawajod
لباب,lubaba
تحریر,tehreer
ٹوٹ,toot
حانڈريڈ,hundred
ڈھونڈ,dhond
جنازے,janaze
اضافہ,izafa
ہےکے,he
زهیر,zaher
موست,most
پختونخواہ,pkhtoon
فرشتے,farishte
بھاگنے,bhaagny
وقاص,waqas
زخم,zakhm
نيک,neck
ڈال,dal
طریقے,tareke
امتیاز,imtiaz
جاؤں,jaon
بولا,bola
تبديل,tabdeel
زور,zor
بہا,baha
جذبوں,jazbo
عشق,ishq
مذاق,mazaq
سلیم,slim
جوتی,joti
سوچوں,sochon
ماما,mama
میرا,mera
محسوس,mehsus
مرا,mara
ہمت,himt
ضرورت,zarurat
چلنا,chalna
دیتا,deta
چشم,chashm
لوسٹ,lost
نهیں,nhi
دعوے,daway
نبض,nabz
و,o
نہیں,nhi
کانٹے,kantay
فقیر,faqeer
مثل,misl
معافی,mafi
ہا,hahaha
سرسری,sarsari
اشارہ,ishara
ناگن,nagan
سوچ,soch
عیب,aaib
انليس,unless
چپکے,chupke
بابی,baby
ییہ,ye
وقت,waqt
مجبور,majboor
انکوري,inquiry
تمام,tamam
سے,se
سلپ,slip
توتی,toti
استاد,ustad
فضول,fazol
دکھانا,dekhana
موحسن,mohsin
گنوا,ganwa
اٹھ,uth
لگوا,lagwa
مجبوری,majbori
ٹونکل,twinkle
زنی,zani
نیوزی,newzeland
جنيد,junaid
جنوري,january
اصلیت,asliat
پھرنے,phirne
منانا,manana
سميل,smell
یاروں,yaro
ونير,owner
فيل,fail
اٹوٹ,atoot
بچاؤ,bachao
بلال,bilal
رکھے,rakhe
کلیر,clear
ہاتھوں,hathon
فاک,face
سکت,sakt
تيل,tail
جاگ,jag
لپس,lips
افسانے,afsanay
آواز,awaz
جينيڈ,junaid
ہن,hn
دوستو,dosto
ذات,zaat
سيٹ,seat
رون,iron
سمیر,sameer
سارا,sara
والده,walda
الا,ula
کيي,key
تهی,thi
کرایا,karwaya
پہچانے,pohanchane
لؤگ,log
سبھا,subha
گندا,gnda
صلاح,sulah
فرحان,farhan
ایا,aya
ﮐﮯ,KE
ﻣﻴﮟ,MYN
ﮐﯽ,KY
ﮨﮯ,HE
اور,AOR
ﺳﮯ,SE
ﮐﺎ,KA
ﮐﻮ,KO
ﻧﮯ,NE
اس,AS
ﮐہ,KH
ﮨﻴﮟ,HYN
ﭘﺮ,PR
ﮐﺮ,KR
ﮨﻮ,HO
ﺑﻬﯽ,BHY
اﯾﮏ,AYK
ﯾہ,YH
ﻧﮩﻴﮟ,NHYN
ان,AN
ﮐﻴﺎ,KYA
ﺗﻮ,TO
وﮦ,OH
ﻟﺌﮯ,LYE
ﮐﺮﻧﮯ,KRNE
ﺗﻬﺎ,THA
ﮐﮩﺎ,KHA
ﮔﻴﺎ,GYA
ﺟﻮ,JO
و,O
ﮔﺎ,GA
ﮨﯽ,HY
ﺟﺎﺋﮯ,JAYE
ﻧہ,NH
ﺟﺐ,JB
اﭘﻨﮯ,APNE
ﺁپ,AAP
ﺟﺲ,JS
دﯾﺎ,DYA
ﺗﻬﮯ,THE
ﮨﻮﺋﮯ,HOYE
ﺗﮏ,TK
ﺑﻌﺪ,BAD
اﻧﮩﻮں,ANHON
رﮨﮯ,RHE
ﺳﺎﺗﻬ,SATH
ﻟﻴﮑﻦ,LYKN
ﮔﯽ,GY
ﮐﺮﯾﮟ,KRYN
ﮐﻮﺋﯽ,KOYY
ﮔﮯ,GE
ﮐﺮﺗﮯ,KRTE
ﮨﻮﻧﮯ,HONE
ﮔﺌﮯ,GYE
اﭘﻨﯽ,APNY
واﻟﮯ,OALE
وﻗﺖ,OKT
ﺑﮩﺖ,BHT
ﮐﺴﯽ,KSY
ﺟﺎ,JA
ﺗﻬﯽ,THY
ﯾﺎ,YA
ﮔﺌﯽ,GYY
ﮨﻢ,HM
ﮨﻮں,HON
ﮐﻴﻠﺌﮯ,KYLYE
زﯾﺎدﮦ,ZYADH
ﻣﻠﮏ,MLK
ﺑﺎت,BAT
رﮨﺎ,RHA
ﻃﺮح,TRH
اﮔﺮ,AGR
اب,AB
ﺣﮑﻮﻣﺖ,HKOMT
دو,DO
ﮨﻮا,HOA
دی,DY
ﮨﻮﺗﺎ,HOTA
ﮐﺎم,KAM
ﺣﺎﺻﻞ,HASL
رﮨﯽ,RHY
ﺳﺐ,SB
ﮐﺮﻧﺎ,KRNA
ﺟﺎﺗﺎ,JATA
ﮨﺮ,HR
ﺳﯽ,SY
ﻃﻮر,TOR
ﺧﺎن,KHAN
ﭘﮩﻠﮯ,PHLE
ﮐﭽﻬ,KCHH
ﺻﺮف,SRF
اﻧﮩﻴﮟ,ANHYN
ﺳﺎل,SAL
وﺟہ,OJH
ﮐﻢ,KM
ﺟﻨﮓ,JNG
اﺳﮯ,ASE
ﮨﻮﺗﯽ,HOTY
ﻟﻴﮯ,LYE
ﭨﻴﻢ,TYM
ﺻﺪر,SDR
ﻣﻄﺎﺑﻖ,MTABK
ﺗﻤﺎم,TMAM
ﺑﯽ,BY
ﮨﻮﺋﯽ,HOYY
اﺳﯽ,ASY
ﺧﻼف,KHLAF
اﺣﻤﺪ,AHMD
واﻟﯽ,OALY
ﺳﮑﺘﺎ,SKTA
ﻃﺮف,TRF
دے,DE
ﭘﻬﺮ,PHR
دﻧﻴﺎ,DNYA
ﻟﻮﮔﻮں,LOGON
ﺷﺮوع,SHROA
ﺟﺎﺗﯽ,JATY
اﻓﺮاد,AFRAD
ﺑﺎرے,BARE
وزﯾﺮ,OZYR
ای,AY
ﺟﻦ,JN
ﺁﺑﺎد,AABAD
دور,DOR
ﺁ,AA
ﺟﺎﺋﻴﮟ,JAYYN
ﻟﻴﺎ,LYA
دوﺳﺖ,DOST
ﻋﻠﯽ,ALY
ڈاﮐﭩﺮ,DAKTR
ﺟﺎﻧﮯ,JANE
ﺷﺎﻣﻞ,SHAML
ﻟﻮگ,LOG
ﻟﮯ,LE
ﮐﺌﮯ,KYE
اﺳﺘﻌﻤﺎل,ASTAMAL
ﻣﺪد,MDD
ﭘﯽ,PY
ﻣﻴﻞ,MYL
ﭘﻴﺪا,PYDA
ﺑﮯ,BE
دوﺳﺮے,DOSRE
روﭘﮯ,ROPE
ﺿﺮورت,ZRORT
اے,AE
ﺗﻴﻦ,TYN
ﭘﻴﺶ,PYSH
ﻣﺨﺘﻠﻒ,MKHTLF
ﮐﻴﻮﻧﮑہ,KYONKH
ﻧﺎم,NAM
ﺁﺋﯽ,AAYY
ﮨﻤﺎرے,HMARE
ﺻﻔﺤہ,SFHH
دوﻧﻮں,DONON
اﻣﺮﯾﮑﯽ,AMRYKY
ﻗﻮﻣﯽ,KOMY
زﻧﺪﮔﯽ,ZNDGY
ﮨﻮﺗﮯ,HOTE
ﻗﺎﺋﻢ,KAYM
ﺁج,AAJ
ﭘﺎﻧﯽ,PANY
ﮐﺮﺗﺎ,KRTA
ﻋﻮام,AOAM
ﻋﻤﻞ,AML
ﺣﺴﻴﻦ,HSYN
دوران,DORAN
ﭘﺎﮐﺴﺘﺎﻧﯽ,PAKSTANY
اﯾﻢ,AYM
ﺷﺎﮦ,SHAH
ﺳﻮ,SO
ﭘﺮﻧﭧ,PRNT
ﺑﺘﺎﯾﺎ,BTAYA
ﺑﮍی,BRY
ﺧﻮد,KHOD
ﻣﺠﻬﮯ,MJHE
اﯾﺴﮯ,AYSE
ﭘﻮﻟﻴﺲ,POLYS
ﺟﺎری,JARY
ﻓﻠﻢ,FLM
ﻣﻮﺟﻮد,MOJOD
دن,DN
ﮐﻬﻴﻞ,KHYL
ﮐﻴﺠﻴﺌﮯ,KYJYYE
ﮐﺮے,KRE
ﺑﻠﮑہ,BLKH
ﺳﮑﺘﮯ,SKTE
ﻧﻈﺮ,NZR
ﮔﻬﺮ,GHR
ﻣﻤﺎﻟﮏ,MMALK
ﺟﮩﺎں,JHAN
ﮐﮩﻨﺎ,KHNA
ﺟﺎﺗﮯ,JATE
ﻣﻴﺮے,MYRE
ﻋﻼﻗﻮں,ALAKON
ﻣﮕﺮ,MGR
ﭘﺎس,PAS
ﺑﻨﺎ,BNA
ﺳﮑﺘﯽ,SKTY
ﮨﺰار,HZAR
ﺗﻌﻠﻴﻢ,TALYM
ﺑﮍے,BRE
ﮐﺮﮐﭧ,KRKT
دﯾﮕﺮ,DYGR
ﻏﻴﺮ,GHYR
ﮨﻼک,HLAK
ﯾﮩﺎں,YHAN
ﻣﻴﭻ,MYCH
ﮐﺌﯽ,KYY
ﺑﻦ,BN
اﮨﻢ,AHM
دﯾﮟ,DYN
ﺳﮑﮯ,SKE
ﮨﻤﻴﮟ,HMYN
ﭨﯽ,TY
ﻣﻮﻗﻊ,MOKA
ﻓﻴﺼﺪ,FYSD
ﺑﭽﮯ,BCHE
ﺟﻨﺮل,JNRL
ﻋﻼوﮦ,ALAOH
ﺧﺒﺮﯾﮟ,KHBRYN
اﭘﻨﺎ,APNA
ﺑﭽﻮں,BCHON
ﺳﻴﺎﺳﯽ,SYASY
اﺿﺎﻓہ,AZAFH
اﯾﺴﺎ,AYSA
ﺧﻴﺎل,KHYAL
ﺧﺘﻢ,KHTM
ﺷﮩﺮ,SHHR
ﺧﻮاﺗﻴﻦ,KHOATYN
روز,ROZ
ﺗﺮﻗﯽ,TRKY
ﺳﻴﺮﯾﺰ,SYRYZ
ﭨﻴﺴﭧ,TYST
ﮨﻤﺎری,HMARY
وﮨﺎں,OHAN
ﺟﺎﻧﺐ,JANB
ﮐﻮﺷﺶ,KOSHSH
دوﺳﺮی,DOSRY
ﺁﺋﮯ,AAYE
ﻋﺎﻟﻤﯽ,AALMY
ﻣﮑﻤﻞ,MKML
ﺣﻮاﻟﮯ,HOALE
ﻋﻤﺮ,AMR
ﺑﺎر,BAR
ﺣﺼہ,HSH
اﻧﺴﺎن,ANSAN
ﻣﺰﯾﺪ,MZYD
ﻧﻈﺎم,NZAM
ﺑﮩﺘﺮ,BHTR
ﮐﺒﻬﯽ,KBHY
ﻣﺴﻠﻢ,MSLM
ﭼﺎر,CHAR
دﯾﻨﮯ,DYNE
ﺁﻧﮯ,AANE
ﮐﺮﺗﯽ,KRTY
ﮐﺮدار,KRDAR
ﻣﻴﺮی,MYRY
اﯾﺴﯽ,AYSY
ﻓﻴﺼﻠہ,FYSLH
ﺳﺎﻣﻨﮯ,SAMNE
ادا,ADA
درﻣﻴﺎن,DRMYAN
ﺻﻮرت,SORT
ﭘﺎرﭨﯽ,PARTY
ﻧﺌﯽ,NYY
ﺳﻴﺪ,SYD
ﺑﻌﺾ,BAZ
ﺗﻌﻤﻴﺮ,TAMYR
دل,DL
اﺟﻼس,AJLAS
ﺑﺎﮨﺮ,BAHR
ﻗﺮار,KRAR
ﻋﺎم,AAM
ﺿﺮوری,ZRORY
ﺣﻀﺮت,HZRT
ﺑﻬﺎرﺗﯽ,BHARTY
ذرﯾﻌﮯ,ZRYAE
ﺑﻨﺎﻧﮯ,BNANE
ﺗﺎﮨﻢ,TAHM
ﻣﺴﺎﺋﻞ,MSAYL
دﯾﺘﮯ,DYTE
ﺗﺎﮐہ,TAKH
ﻣﺸﺮف,MSHRF
ﺟﮕہ,JGH
ﻣﻴﺮا,MYRA
ﺑﻨﺪ,BND
ﺟﯽ,JY
ﻓﻮﺟﯽ,FOJY
ﺗﻌﺪاد,TADAD
ﺗﻬﻴﮟ,THYN
اﻇﮩﺎر,AZHAR
ﻻﮐﻬ,LAKH
ﮐﻤﯽ,KMY
ﭘﺎﺑﻨﺪی,PABNDY
ڈی,DY
ﭘﮩﻠﯽ,PHLY
ﺻﺎﺣﺐ,SAHB
ﭘﻮری,PORY
ﯾﻌﻨﯽ,YANY
ﮨﻮﻧﺎ,HONA
ﯾﮩﯽ,YHY
ﺑﻐﻴﺮ,BGHYR
ﻟﻴﮟ,LYN
ﭼﻨﺪ,CHND
ﺷﮑﺎر,SHKAR
ﺗﻴﺎر,TYAR
اﯾﺲ,AYS
ﻧﺌﮯ,NYE
وی,OY
واﻟﻮں,OALON
ﻣﻞ,ML
اﻣﺪاد,AMDAD
ﺟﻴﺴﮯ,JYSE
ﺑﮍا,BRA
ﺗﻌﻠﻖ,TALK
ﺷﺨﺺ,SHKHS
ﻧﺎﻇﻢ,NAZM
ﺣﻞ,HL
اﺳﻤﺒﻠﯽ,ASMBLY
دﯾﺌﮯ,DYYE
ﻣﺘﺤﺪﮦ,MTHDH
ﮔﺰﺷﺘہ,GZSHTH
اﻋﻼن,AALAN
ﺗﺤﺖ,THT
ﺑﺎﻋﺚ,BAAS
اﺷﺎﻋﺖ,ASHAAT
ﻓﺮاﮨﻢ,FRAHM
ﭘﺎﻧﭻ,PANCH
اﺑﻬﯽ,ABHY
زﻟﺰﻟﮯ,ZLZLE
ﻓﻮج,FOJ
ﺁف,AAF
اﻣﺪادی,AMDADY
ﻗﺒﻞ,KBL
ﻟﻴﮓ,LYG
ﺟﻠﺪ,JLD
ﺑﻬﺮ,BHR
ﺁﯾﺎ,AAYA
ﭼﮑﮯ,CHKE
ﺣﺎﻻت,HALAT
ﺗﮑﻨﻴﮑﯽ,TKNYKY
اﺳﻼﻣﯽ,ASLAMY
ﻣﺴﺌﻠہ,MSYLH
ﮐﻞ,KL
اﻋﻠﯽ,AALY
ﻟﮕﺎ,LGA
او,AO
ﺳﻠﺴﻠﮯ,SLSLE
ﺗﺎزﮦ ﺗﺮﯾﻦ,TAZH TRYN
اﻋﻈﻢ,AAZM
ﻋﻼﻗﮯ,ALAKE
ﺧﺼﻮﺻﯽ,KHSOSY
ﺻﺤﺖ,SHT
ﮐﺲ,KS
رﮐﻬﻨﮯ,RKHNE
ﮔﺮﻓﺘﺎر,GRFTAR
ﺑﮍه,BRH
ﺧﺎص,KHAS
ﮐﺎر,KAR
ﺑﻴﺎن,BYAN
اﺧﺘﻴﺎر,AKHTYAR
ﮐﻴﻮں,KYON
رﻧﺰ,RNZ
اﻗﺒﺎل,AKBAL
ﻋﻠﻢ,ALM
اﻧﺪاز,ANDAZ
ﺳﻄﺢ,STH
ﻗﺎﻧﻮن,KANON
ﭘﺮوﮔﺮام,PROGRAM
ﺳﺎﻣﺎن,SAMAN
ﺣﻖ,HK
ﭘﺎک,PAK
ﺟﻮاب,JOAB
ﮐﻤﻴﭩﯽ,KMYTY
ﻣﺎﮦ,MAH
ﻧﻤﺒﺮ,NMBR
ﻟﯽ,LY
ﺁﺧﺮی,AAKHRY
رﭘﻮرٹ,RPORT
راﺋﮯ,RAYE
رﮐﻬﺎ,RKHA
ﻗﺴﻢ,KSM
ﻣﻌﻠﻮم,MALOM
زﻣﻴﻦ,ZMYN
ﺳﺎﺑﻖ,SABK
اﭼﻬﯽ,ACHHY
ﺳﻮال,SOAL
ﺧﻄﺎب,KHTAB
ﮨﺎﺗﻬ,HATH
ﺛﺎﺑﺖ,SABT
ﺿﻠﻊ,ZLA
ﺳﺮﮐﺎری,SRKARY
ﺟﺎن,JAN
ﺑﻬﺎﺋﯽ,BHAYY
ﮐﮩﺘﮯ,KHTE
ﺳﮑﻴﮟ,SKYN
اﻧﺪر,ANDR
ﻗﺮﯾﺐ,KRYB
ﻃﻠﺐ,TLB
واﭘﺲ,OAPS
ﺑﻮرڈ,BORD
ﻗﻴﻤﺖ,KYMT
ﮐﺎﻣﻴﺎب,KAMYAB
ﺳﺮ,SR
ﺑﺎوﺟﻮد,BAOJOD
اﻧﺘﺨﺎﺑﺎت,ANTKHABAT
ﻗﻮم,KOM
ﭼﮑﺎ,CHKA
ﺗﻌﻠﻘﺎت,TALKAT
ﻟﮩﺬا,LHZA
ﺁزاد,AAZAD
ﺣﺴﻦ,HSN
رات,RAT
ﺣﺪ,HD
ﺑﻨﺎﯾﺎ,BNAYA
ﺷﺮﮐﺖ,SHRKT
ڈﯾﻢ,DYM
ﺻﻮﺑﺎﺋﯽ,SOBAYY
ﺗﻘﺮﯾﺒﺎ,TKRYBA
ﭼﮑﯽ,CHKY
رﮦ,RH
ﻣﺘﺎﺛﺮﮦ,MTASRH
ﺟﻤﺎﻋﺖ,JMAAT
ﺁﻏﺎز,AAGHAZ
ﻣﻠﮑﯽ,MLKY
ﻧﻘﺼﺎن,NKSAN
ﮐﺎﻓﯽ,KAFY
دﯾﮑﻬ,DYKH
اﺧﺘﺮ,AKHTR
ﻣﺘﺎﺛﺮﯾﻦ,MTASRYN
وﻏﻴﺮﮦ,OGHYRH
ﮐﺎﻧﻔﺮﻧﺲ,KANFRNS
ادارے,ADARE
اﻧﺴﺎﻧﯽ,ANSANY
ﺗﻮﺟہ,TOJH
ﻣﻮﻻﻧﺎ,MOLANA
اداروں,ADARON
ﻇﺎﮨﺮ,ZAHR
ﻣﺮﺗﺒہ,MRTBH
دس,DS
ﻣﻴﺮ,MYR
ﻣﺸﮑﻞ,MSHKL
ﺗﺤﺮﯾﮏ,THRYK
ﺷﺮﯾﻒ,SHRYF
ﭘﮩﻨﭻ,PHNCH
ﭘﻴﺪاوار,PYDAOAR
ﮐﻴﮯ,KYE
ﮐﻮﻧﺴﻞ,KONSL
ﮐﺎﻣﻴﺎﺑﯽ,KAMYABY
ﻣﻤﮑﻦ,MMKN
ﺷﻴﺦ,SHYKH
ﺻﻮرﺗﺤﺎل,SORTHAL
ﺗﺎرﯾﺦ,TARYKH
ﮐﻬﻼڑی,KHLARY
ﭘﻮر,POR
ﻏﻼم,GHLAM
ﭘﺮوﻓﻴﺴﺮ,PROFYSR
ﻣﺘﻌﻠﻖ,MTALK
درج,DRJ
ﻋﻼج,ALAJ
ﺣﺎل,HAL
ﺳﺎت,SAT
ﺑﺠﺎﺋﮯ,BJAYE
ﭼﺎﮨﺘﮯ,CHAHTE
ﺑﻨﻴﺎدی,BNYADY
ﮐﺮوڑ,KROR
ﭼﻮدهﺮی,CHODHRY
دﯾﺘﺎ,DYTA
رﮐﻬﺘﮯ,RKHTE
ﻣﻌﺎﺷﯽ,MAASHY
ﻣﻀﺒﻮط,MZBOT
ﺑﺮس,BRS
ﺗﻢ,TM
ﻗﻴﺎم,KYAM
ﺷﺪﯾﺪ,SHDYD
ﮐﺎﻟﺞ,KALJ
ڈاﻟﺮ,DALR
ﺑﮩﺘﺮﯾﻦ,BHTRYN
ﺗﻘﺴﻴﻢ,TKSYM
ﺳﺮﺣﺪ,SRHD
ﮔﺮوپ,GROP
ﭘﻴﺮ,PYR
زﯾﺮ,ZYR
واﺿﺢ,OAZH
وزﯾﺮاﻋﻈﻢ,OZYRAAZM
زر,ZR
ﻣﺴﻠﻤﺎﻧﻮں,MSLMANON
زﺧﻤﯽ,ZKHMY
ﺷﺨﺼﻴﺖ,SHKHSYT
ﻣﺤﺒﺖ,MHBT
ﯾﺎد,YAD
ﮐﺘﺎب,KTAB
ﺑﺎغ,BAGH
ﺳﺰا,SZA
ﻣﺘﺎﺛﺮ,MTASR
اﻣﻦ,AMN
ﮐﻬﻼڑﯾﻮں,KHLARYON
ﻣﻮت,MOT
ﺳﻤﻴﺖ,SMYT
ﻣﻮﺟﻮدﮦ,MOJODH
ﻗﺘﻞ,KTL
ﻓﯽ,FY
ﺁﮔﮯ,AAGE
رﻧﮓ,RNG
ﺳﮑﻮل,SKOL
ﺳﺮی,SRY
ﺳﺨﺖ,SKHT
زﺑﺎن,ZBAN
ﻧﻴﻮز,NYOZ
ﺣﻴﺜﻴﺖ,HYSYT
ﻧﻴﺎ,NYA
ﮐﺎرﮐﺮدﮔﯽ,KARKRDGY
ﮐﮩﻴﮟ,KHYN
ﻣﺤﺴﻮس,MHSOS
ﮨﻤﻴﺸہ,HMYSHH
ﺳﻴﺎﺳﺖ,SYAST
اﯾﻦ,AYN
ﻣﻼ,MLA
دﮨﺸﺖ,DHSHT
ﻓﻦ,FN
اﯾﻒ,AYF
ﻣﻴﺎں,MYAN
ﭼﻞ,CHL
ﺁﻣﺪﻧﯽ,AAMDNY
ﺷﺎدی,SHADY
اﻗﺪاﻣﺎت,AKDAMAT
ﺿﺮور,ZROR
زاﺋﺪ,ZAYD
اﻧﺘﮩﺎﺋﯽ,ANTHAYY
ﭘﮩﻼ,PHLA
ﺷﺮح,SHRH
ﺗﻘﺮﯾﺐ,TKRYB
ﭼﺎﮨﻴﮯ,CHAHYE
ﺁﺗﺎ,AATA
ﺗﻌﺎﻟﯽ,TAALY
ﻟﻴﻨﮯ,LYNE
دﯾﮑﻬﺎ,DYKHA
ﮐﭙﺘﺎن,KPTAN
ﻋﺪاﻟﺖ,ADALT
اﭼﻬﺎ,ACHHA
راﮦ,RAH
ﻣﺴﻠﻤﺎن,MSLMAN
رﮨﻴﮟ,RHYN
ﻣﻼﻗﺎت,MLAKAT
ﮔﺌﻴﮟ,GYYN
ﺟﻤﻊ,JMA
ﺑﺎﺗﻴﮟ,BATYN
ﺟﺎﻧﺎ,JANA
ﺁؤٹ,AAOT
ﻋﺰﯾﺰ,AZYZ
ﺳﻔﺮ,SFR
ﻧﻮ,NO
اول,AOL
اﮨﻤﻴﺖ,AHMYT
ﭘﺴﻨﺪ,PSND
ﺳﺎﻟہ,SALH
ﺟﻨﻮﺑﯽ,JNOBY
ﺟﺴﻢ,JSM
ﮐﻮن,KON
رﮨﺘﮯ,RHTE
ﺳﻴﮑﺮﭨﺮی,SYKRTRY
ارﮐﺎن,ARKAN
رﻗﻢ,RKM
ﺁﺗﮯ,AATE
ﺳﻠﺴﻠہ,SLSLH
ﯾﻮں,YON
ﻓﻮری,FORY
اﮐﺜﺮ,AKSR
ﭼﻴﺌﺮﻣﻴﻦ,CHYYRMYN
ﮨﺪاﯾﺖ,HDAYT
زﻟﺰﻟہ,ZLZLH
ﺑﻨﺎﺋﮯ,BNAYE
ﺑﻴﻨﮏ,BYNK
ﺳﺎﺣﻞ,SAHL
ﭼﻴﺰ,CHYZ
ﭘﻮرا,PORA
اﻣﻴﺪوار,AMYDOAR
ﺑﺲ,BS
ﻃﺎﻗﺖ,TAKT
ذﻣہ,ZMH
رﮨﻨﮯ,RHNE
ﻋﺮﺻہ,ARSH
ﻓﺎﺋﺪﮦ,FAYDH
ﮨﺎں,HAN
ﺁﺑﺎدی,AABADY
ﮐﺎررواﺋﯽ,KARROAYY
ﺁواز,AAOAZ
ﺣﻘﻮق,HKOK
ﺷﻮﮐﺖ,SHOKT
دﻧﻮں,DNON
ﺟﺪﯾﺪ,JDYD
ﯾﻮﻧﻴﻮرﺳﭩﯽ,YONYORSTY
ﺷﺎﺋﻊ,SHAYA
ارب,ARB
ﺁﺗﯽ,AATY
ذراﺋﻊ,ZRAYA
ﻋﺮب,ARB
اﻧﻀﻤﺎم,ANZMAM
ﺟﺎوﯾﺪ,JAOYD
ﺧﺪا,KHDA
ﺣﻤﻠﮯ,HMLE
اﻗﻮام,AKOAM
ﺑﺮﻗﺮار,BRKRAR
ﭼﻬﻮﭨﮯ,CHHOTE
ﺣﮑﺎم,HKAM
دورﮦ,DORH
ﺑﺎﻟﮑﻞ,BALKL
ﺟﺴﮯ,JSE
ﻣﻠﮯ,MLE
دﯾﻨﺎ,DYNA
ﻣﺤﻨﺖ,MHNT
ﻣﺮﮐﺰی,MRKZY
ﺑﻨﻴﺎد,BNYAD
رﮐﻬ,RKH
واﻟﺪﯾﻦ,OALDYN
اﺟﺎزت,AJAZT
واﻗﻊ,OAKA
ﻧﺎﻣہ ﻧﮕﺎر,NAMH NGAR
ﺳﺮﺑﺮاﮦ,SRBRAH
ﺷﺎم,SHAM
اﺗﻨﯽ,ATNY
ﺟﻴﺖ,JYT
ﭘﻮرے,PORE
ﺑﺶ,BSH
اﻟﻴﮑﺸﻦ,ALYKSHN
ﮔﻔﺘﮕﻮ,GFTGO
ﻣﻨﻌﻘﺪ,MNAKD
